10000	0.020000
20000	0.051000
30000	0.062000
40000	0.081000
50000	0.100000
60000	0.115000
70000	0.152000
80000	0.108000
90000	0.139000
100000	0.147000
10000	0.000000
20000	0.008000
30000	0.010000
40000	0.012000
50000	0.015000
60000	0.022000
70000	0.013000
80000	0.021000
90000	0.021000
100000	0.021000
110000	0.019000
120000	0.033000
130000	0.037000
140000	0.039000
150000	0.040000
160000	0.037000
170000	0.034000
180000	0.043000
190000	0.050000
200000	0.051000
210000	0.041000
220000	0.060000
230000	0.057000
240000	0.043000
250000	0.037000
260000	0.050000
270000	0.041000
280000	0.033000
290000	0.048000
300000	0.043000
310000	0.048000
320000	0.052000
330000	0.057000
340000	0.055000
350000	0.064000
360000	0.056000
370000	0.055000
380000	0.054000
390000	0.058000
400000	0.057000
410000	0.067000
420000	0.067000
430000	0.087000
440000	0.086000
450000	0.061000
460000	0.082000
470000	0.071000
480000	0.094000
490000	0.093000
500000	0.083000
10000	0.000000
20000	0.003000
30000	0.000000
40000	0.003000
50000	0.002000
60000	0.013000
70000	0.003000
80000	0.017000
90000	0.013000
100000	0.014000
