P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST,Temperature
2.472029,6.6743881,0.020807,1762.8468028783968
3.9231124,14.620088,0.3343,439.79584055106415
4.6709671,19.66084,0.291,471.3818010630028
1.58061,4.9104426,0.0188,1854.5578341322932
1.24431,0.83906593,0.03925,1283.5106463835273
2.0178,4.0395939,0.05591,1075.4112114283923
33.63,6356.5601,100.0,25.428415894557705
12.185583,5085.248,320.0,14.214916625091787
14.18065,3591.4564,2000.0,5.685966650036716
3.6644504,13.021413,0.039435,1280.4964634335058
2.235976,5.6287339,0.0905,845.2691453457801
2.4643939,6.639427,0.0917,839.7202725980885
14.78599,166.8597,0.05561,1078.3080772620467
4.36069,23.398498,0.05254,1109.3645191233018
13.486643,506.99605,4.13,125.12505462759727
10.75039,67.061709,0.0384,1297.638414769663
14.25912,270.47163,0.04267557,1230.9194685631733
12.246714,4538.5839,1.220941,230.12932678104517
15.9182,1093.3283,0.0751911,927.3337941604174
11.8826,616.58633,0.095974547,820.8074137717819
14.44969,1332.6528,0.0413,1251.2505462759725
11.7705,184.34024,0.092546544,835.8708947357309
13.044953,1080.6152,5.6,107.45466942145842
11.15395,62.612117,0.0559,1075.507397754011
12.68972,92.805777,0.0466,1177.9486196109476
12.521757,2739.6774,0.06814,974.1329673199947
9.71907,2302.9817,0.0361,1338.337678660932
12.4431,1547.8224,0.054062515,1093.6319343659102
12.8915,785.03517,0.044368276,1207.2105690418787
12.2189,425.88952,0.018557982,1866.6114750822846
14.573,238.371,0.048704094,1152.2230831374657
12.72335,180.84413,0.0466,1177.9486196109476
7.0623,22.24796,0.053184492,1102.6223675650474
11.4342,197.05336,0.04,1271.4207947278853
13.58652,198.96033,0.0434,1220.6030228604702
13.1157,279.68864,0.070858344,955.2648698243752
10.5374,206.5882,0.040567684,1262.4936389244754
16.1424,263.79724,0.045097536,1197.4100501447224
12.2189,721.46957,0.062646047,1015.9503164445139
22.1958,216.12304,0.03397,1379.6582824994102
20.7385,292.40176,0.054801493,1086.2332953014993
15.1335,2227.9743,0.098261753,811.1983377375007
39.7955,2390.0666,0.13289301,697.5385862803531
14.31517,587.40972,0.0241,1637.9882597355556
13.20538,371.54094,0.0379,1306.1699886811766
9.24825,84.860077,0.0523,1111.90699270814
17.61091,190.37897,0.0509,1127.0947186142275
14.28154,213.26259,0.04438,1207.0511022599107
17.0392,152.55744,0.05351793,1099.1821125978968
22.9805,378.21532,0.051823488,1117.0072345352728
14.3488,331.81244,0.0575,1060.4382481306613
14.36001,210.40214,0.0443,1208.1404987833328
13.92282,111.87546,0.0507,1129.3155970606651
12.952003,1271.312,1.752,192.11100988813587
15.98546,283.50258,0.0452,1196.0520740973798
14.39364,156.68921,0.0577,1058.598804858327
17.8239,699.22161,0.049388842,1144.2077476843172
13.5641,311.47144,0.039273541,1283.1259133987305
14.43848,429.0678,0.0453,1194.7311989576997
14.49453,98.208853,0.05069,1129.4269858854232
11.31089,259.98331,0.03694,1323.0335592421206
14.77478,471.65676,0.03159,1430.686545499701
10.58224,241.54928,0.04117,1253.224488053079
13.25022,184.9759,0.04604,1185.0908594487555
16.9271,734.18269,0.04359412,1217.882382797748
19.5054,448.13748,0.050147504,1135.5196266179732
16.5908,419.53296,0.058388197,1052.3416843526782
21.1869,167.49536,0.03951,1279.2805326081084
17.8239,248.85933,0.04363,1217.381504875529
23.37285,108.06152,0.06505,997.0011413223126
18.78796,1137.8243,0.06555,993.1914172577252
16.9271,584.80353,0.038440527,1296.9541985997607
20.9627,2154.8739,0.04739,1168.0890468309467
15.694,406.81984,0.044819501,1201.1183375648516
15.61553,238.05317,0.05287,1105.896925593458
14.59542,589.57095,0.0444,1206.779213281969
10.86249,167.17753,0.04491,1199.9075290083804
18.03689,1000.0,0.0507,1129.3155970606651
7.75732,46.519402,0.0441,1210.8769473598907
13.58652,172.58061,0.04057,1262.4576027277997
11.64719,340.39379,0.03815,1301.8832360994145
12.38705,689.68677,0.02712,1544.0965880586637
14.573,1039.2976,0.03744,1314.169506877281
8.71017,425.25387,0.1308,703.0973060637003
14.89809,629.14053,0.0174,1927.7232340974888
13.09328,427.47866,0.023,1676.7000910258416
10.68313,870.84873,0.05025,1134.3609636416531
20.8506,467.20716,0.03397,1379.6582824994102
15.63795,718.29129,0.0238,1648.2793866885345
14.1246,194.82857,0.05163,1119.0983190316615
19.6175,206.5882,0.04735,1168.5823277004135
16.815,168.44884,0.0611,1028.723594504219
13.38474,213.58042,0.04131,1251.0990906624813
14.02371,207.54169,0.05475,1086.743982659974
15.48101,340.39379,0.0485,1154.6448866384858
13.17175,224.38657,0.04354,1218.6390585587696
18.3844,279.68864,0.0478,1163.0686712805118
14.00129,292.40176,0.04024,1267.6236111516669
13.7883,378.85098,0.03727,1317.163263737416
16.0303,299.07615,0.03166,1429.104052194272
16.41144,388.38582,0.03199,1421.7138226515854
12.92513,110.68129,0.0523,1111.90699270814
17.5997,200.23164,0.06007,1037.5056965765655
11.4342,420.48645,0.0362,1336.4878675782898
17.7118,505.34652,0.04997,1137.5346416042457
14.9093,3082.9316,0.0583,1053.137381640318
15.694,597.51665,0.03689,1323.929862819787
13.2278,82.953109,0.04944,1143.6156104456982
11.96107,177.98368,0.03649,1331.1664833430789
14.41606,222.4796,0.05511,1083.1886493057193
10.12263,54.984245,0.05367,1097.6237821006657
10.22352,75.325237,0.0542,1092.2439873361384
12.6673,123.95292,0.05046,1131.9980606903214
15.8061,244.09191,0.04639,1180.6118001661332
15.49222,711.93473,0.02498,1608.877910262455
15.0214,189.10766,0.04753,1166.3674702920655
11.96107,241.54928,0.03763,1310.8475803732824
14.02371,292.71959,0.05412,1093.0509649026953
18.92248,191.33246,0.06043,1034.4107108047046
12.76819,1000.2047,0.03493,1360.5672505843695
12.27495,327.36284,0.05798,1056.0395914325286
12.62246,256.16937,0.06112,1028.5552686265473
12.310061,4036.4156,2.504,160.69491848015372
11.18758,101.38713,0.03623,1335.9344182340062
12.92513,210.40214,0.04708,1171.928399859836
13.39595,1080.6152,0.07908,904.2447076333917
11.82655,56.891213,0.04163,1246.281362671599
13.53047,305.11488,0.04026,1267.3087127214817
18.82159,305.11488,0.06562,992.6615334563713
16.82621,260.93679,0.04497,1199.1067898274373
15.81731,1694.0233,0.04714,1171.182344569459
18.88885,460.8506,0.03032,1460.3424424306208
13.81072,409.99812,0.05071,1129.204241186307
10.59345,183.38676,0.03211,1419.0547545708878
6.31123,38.13936,0.04012,1269.5179438814469
15.51464,4099.9812,0.03632,1334.2781864843064
9.78633,43.860264,0.04667,1177.0648897467431
13.85556,124.54582,0.0312,1439.600566604255
77.349,1000.0,53.0,34.92861547598255
13.48116,511.70308,0.68,308.36483713351885
13.748735,327.36284,1.03,250.55362678245984
3.6975355,13.221645,0.06412,1004.205392293067
3.4946933,12.013899,0.12859,709.113425337205
5.4548168,25.585154,0.2699,489.46074133187454
5.116168,22.947182,0.4929,362.19287012407455
5.1577873,23.26501,1.427,212.86649995935733
9.5033808,65.663265,3.381,138.29189270057708
10.632932,79.457001,0.3,464.2572329024054
8.47229,54.03076,0.15,656.5588752003865
14.229711,130.30948,0.05,1137.193330007343
12.832273,1570.0703,0.51,356.06904345530444
12.552009,2593.4765,1.81,189.00792682763142
13.515325,483.09856,3.118395,143.9970991403188
4.1205931,15.8914,0.46,374.92153814138663
13.145216,113.90002,4.074,125.98208556701348
13.791378,305.11488,0.0807,895.1226335002679
5.8252587,28.60452,0.25,508.5683178911541
14.059257,197.05336,0.0498,1139.4745626510955
13.330753,116.64288,0.07,961.1037813045959
3.3532856,11.200259,0.439,383.78415978243254
8.1750994,50.85248,0.26,498.69226479270253
13.528384,472.61024,2.01,179.35821669455373
12.542617,2637.9724,0.95,260.8900423563425
12.64257,2202.5481,2.61,157.3979429615538
12.433139,3219.5977,3.34,139.13810126902104
2.44378,12.598702,0.0907,844.3366915094364
4.34948,15.198535,0.1536,648.8192073848315
13.804159,298.75832,2.015,179.1355496730195
12.462001,3054.3271,4.59,118.68968115176816
12.388146,3496.108,650.0,9.973845295854051
12.68839,2028.6961,2.14,173.82507252049908
9.5951891,66.743881,0.269,490.2788581015261
10.906054,82.953109,0.102,796.1945858493874
13.028326,1112.398,2.0,179.80605313873542
13.243024,767.2368,1.32,221.32595167956075
13.555855,451.31576,1.04,249.34613239635127
13.772717,314.64972,2.659,155.9409362188619
13.858291,273.33208,0.33,442.6519033591215
4.3116779,17.162712,0.079,904.7024372033966
5.2730951,24.154928,0.196,574.3693679773597
11.126015,85.813561,0.0615,1025.3726944139617
12.383705,3524.7126,2.14,173.82507252049908
12.625974,2269.2919,1.97,181.1699618352909
12.897801,1398.4432,2.5,160.8234230336607
12.883796,1433.4043,1.82,188.48795905615182
13.150703,899.45325,0.92,265.10956203266534
13.180399,114.41808,1.24,228.353915840224
13.810658,295.58004,2.44,162.78875163876143
12.695699,2002.3164,1.6,201.02927879207593
13.687489,362.32392,1.73,193.32866604823028
13.115594,113.4646,5.34,110.03951749365253
13.883649,262.2081,2.067,176.8679196512766
12.403738,3397.5814,0.36,423.80693157596176
13.709017,349.6108,1.16,236.0969144423307
14.068305,194.19291,4.9155417,114.69212875224487
12.844995,1535.1093,2.9,149.3207996351335
14.188786,129.67383,0.774,289.0339283631562
13.564318,444.9592,1.65,197.95994925613263
13.622607,403.64156,1.7229545,193.72354225814865
13.375275,612.13673,3.787,130.6687249603841
12.758665,1789.3717,1.09,243.56005135342687
8.5891438,55.302073,0.18,599.3535104624514
13.158943,886.74013,0.07,961.1037813045959
2.63435,24.501361,0.13,705.2573643203947
14.057264,197.68902,3.16,143.04601531340933
5.3866696,25.044847,0.229,531.3755466475027
12.674831,2078.5951,1.93,183.03774277491092
12.885055,1430.226,4.3,122.62671044314473
13.51925,479.92028,0.33,442.6519033591215
13.120853,947.12745,0.297,466.5960750745207
2.4020004,6.3565601,0.08,899.0302656936772
13.098082,985.26681,1.372,217.09121548020568
4.3585296,17.48054,0.0524,1110.845506076954
12.615191,2313.7879,4.06,126.19910913109742
13.364981,622.94289,0.54,346.0369106052435
10.303699,75.325237,1.837,187.61377747794126
13.239175,772.32205,0.84,277.44676342768787
13.411231,575.90434,2.8145,151.5718946825277
14.229711,130.30948,2.37,165.17531089540043
13.42541,562.23774,1.084,244.23318036990247
12.982924,1204.2503,1.74,192.77232340974888
13.837399,282.86692,0.87,272.6212342162393
13.484857,508.5248,2.9,149.3207996351335
13.68223,365.5022,0.0925,836.0811643689475
13.415153,572.09041,2.01,179.35821669455373
12.090441,6076.8714,3.17,142.8202124649593
13.060361,1052.0107,4.1,125.58199487484747
12.39063,3480.2166,1.25,227.4386660014686
12.784189,1709.9147,1.98,180.71188281693642
13.527184,473.56372,2.62,157.09727803952327
13.555855,451.31576,1.44,211.90346578798088
14.302258,133.48776,4.49,120.00411415614373
13.222642,794.57001,6.15,102.53726944139618
3.1564286,10.10693,0.0444,1206.779213281969
5.9087129,29.303742,2.3928,164.38648373842187
13.48116,511.70308,0.81,282.53795438397447
13.887363,260.61896,5.8,105.58574999420065
2.0355597,4.7992028,0.0934,832.0431850477252
3.2832766,10.806152,0.1666,622.9910497617042
2.8664188,8.5813561,0.4128,395.7760061220822
13.313413,680.15193,1.29,223.8847182078823
11.912724,8508.2556,12.4,72.21184866735106
9.3233728,63.565601,0.89,269.54066940151193
13.854756,274.92122,0.154,647.9760371684606
12.810983,1630.4577,2.03,178.47249169260027
13.297224,699.22161,5.15,112.0509882989384
12.453511,3102.0013,2.36,165.524888663997
11.50146,131.89862,0.1097,767.7432240492054
12.576953,2479.0584,3.4,137.9049475402399
14.257515,143.34043,0.415,394.72556728880465
13.594966,422.71124,0.689,306.34422306502097
13.666736,375.03704,2.09,175.89203067467554
14.020635,209.76648,5.0,113.7193330007343
12.457456,3079.7533,1.5,207.6221463631461
13.632125,397.285,1.02,251.77883519785323
12.792619,1684.4884,6.8,97.51352356487874
12.892667,1411.1563,2.93,148.5543918391377
13.103687,975.73197,2.78,152.50950376172398
13.459474,530.77276,1.06,246.98260860524644
13.651647,384.57188,0.0379,1306.1699886811766
13.023109,1122.5685,1.988,180.34791088084233
12.72112,1913.3246,0.45,379.064443335781
13.289303,708.75645,0.76,291.6839346807906
13.276343,724.64785,4.6,118.5606004380474
2.4203436,6.4391953,0.0634,1009.891407244762
2.2270398,5.5905946,0.1117,760.8389181432036
13.318914,673.79537,0.2388,520.3578908313973
12.673128,2084.9517,1.922,183.41827903344242
5.8187752,28.55049,0.323,447.42273141881947
13.651647,384.57188,1.32,221.32595167956075
13.697615,356.28519,1.7,195.02704712975748
12.809885,1633.6359,0.522,351.9524999806689
13.271242,731.00441,1.36,218.04686741659648
13.865424,270.1538,2.45,162.456190001049
13.641803,390.92844,0.993,255.17885339739252
12.807696,1639.9925,6.15,102.53726944139618
11.792663,10710.804,0.974,257.65574323749195
13.60862,413.1764,1.04,249.34613239635127
8.2954,120.77464,0.044475466,1205.7549467215204
13.594966,422.71124,0.053,1104.539804203111
13.167307,874.02701,1.262,226.3547583264031
13.175798,861.31389,6.7,98.23854115750676
13.186381,845.74032,4.187,124.27043698001197
13.392966,594.02054,1.66,197.36278364440233
1.63666,7.5102757,0.0522,1112.9715281292808
2.38773,8.1109706,0.1268,714.1010623247965
13.126696,937.59261,1.28,224.7575664234193
13.887363,260.61896,4.21,123.93051601858078
12.785235,1706.7364,0.6,328.27943760019326
13.234401,778.67861,1.29,223.8847182078823
13.204329,819.99625,5.36,109.83402801929799
13.199843,826.35281,2.0,179.80605313873542
13.772717,314.64972,0.63,320.36792710153196
13.887363,260.61896,1.02,251.77883519785323
12.446816,3140.1407,0.49,363.2630842079672
12.523037,2733.3208,4.9999146,113.7203041762789
13.950232,235.19272,1.88,185.45578341322934
1.863713,4.131764,0.05,1137.193330007343
12.40476,3391.2248,1.12,240.27594532614899
13.511426,486.27684,1.5,207.6221463631461
12.257389,4449.592,2.1,175.47274037467974
13.692797,359.14564,0.11,766.6955866850669
13.383276,603.87321,0.8,284.2983325018358
13.292458,704.94251,2.32,166.94572921939215
13.927453,244.09191,1.032,250.31072451810485
13.808049,296.85135,1.492,208.1780299453248
13.009015,1150.5374,3.584,134.318336776823
13.45735,532.67973,1.497,207.83008046269413
13.41058,576.54,5.235,111.13758692038896
3.238126,10.555068,0.09094,843.2218098283871
14.166213,165.87443,0.921,264.96559810022853
10.881423,82.635281,0.36,423.80693157596176
12.814289,1620.9228,2.12,174.64307737991268
12.449039,3127.4275,0.08,899.0302656936772
13.915135,249.05002,0.362,422.63457267289004
13.296959,699.53943,2.39,164.4827488896155
5.0068345,22.120829,0.14,679.6030011845124
14.268747,140.79781,0.87,272.6212342162393
4.1583343,16.139306,0.23,530.2191240653307
13.353717,634.99492,1.331,220.40948417489787
12.069198,98.526681,2.1,175.47274037467974
3.644393,12.900639,0.3351,439.27055419992223
13.13857,918.52293,1.13,239.21041481947594
12.684295,2043.6341,0.94,262.2740841235162
13.023434,1121.9329,5.42,109.22439873361384
13.448934,540.3076,1.32,221.32595167956075
12.587052,2434.2447,0.2931,469.69008957811747
12.147086,5464.4169,2.8373,150.96166491301344
11.126015,85.813561,0.07,961.1037813045959
12.511002,2793.7081,1.36,218.04686741659648
13.140574,915.34465,0.81,282.53795438397447
12.946334,1284.0251,3.6,134.01951919471728
14.020635,209.76648,2.24,169.9007502961281
12.433139,3219.5977,1.31,222.16910121539084
13.195394,832.70937,1.32,221.32595167956075
13.173663,864.49217,2.57,158.61810031436616
12.331,1115.5763,0.16815129,620.1106700916838
13.177942,858.13561,1.16,236.0969144423307
12.499848,2850.9172,2.4,164.13971880009663
14.081624,190.06115,0.975,257.5235781899462
2.9438539,8.9786411,0.16480138,626.3814443694273
13.851243,276.51036,1.42,213.39052589728053
2.2618988,5.7399737,0.06296,1013.4141087549992
2.9823468,9.1788727,0.11878,737.8152805426425
3.9984601,15.100008,0.246,512.6863472069809
13.452425,537.12932,1.14,238.15893537841177
7.8701701,47.6742,0.5137,354.7844061819574
12.560882,2552.1589,0.34,436.09373483319297
5.4747472,25.744068,0.1214,729.8102565951386
13.819878,291.13045,0.0443,1208.1404987833328
13.298822,697.31464,0.843,276.95264591455725
13.083405,1010.693,3.87,129.25990232476434
12.063087,6397.8777,1.46,210.44706732166009
3.5267191,12.201417,0.3357,438.8778222893097
13.454179,535.54018,1.4,214.90933884291684
12.537983,2660.2204,7.52,92.72789170661467
13.21341,807.28313,1.592,201.5337445257619
2.4020004,6.3565601,0.08,899.0302656936772
14.039631,203.40992,1.76,191.67389667126673
14.144978,171.62712,3.0,146.8110276178865
14.024252,127.1312,1.85,186.95343182361415
12.959174,1255.4206,1.49,208.31769989055402
13.016979,1134.646,4.35,121.91992236348057
13.760603,321.00628,0.077,916.3764998564096
13.87556,265.70421,2.1,175.47274037467974
14.164901,166.22405,0.0426,1232.0107756931072
13.35605,632.47773,4.89,114.9912715551802
13.044953,1080.6152,1.82,188.48795905615182
13.523204,476.742,1.203,231.83899860111686
12.6673,359.14564,0.030768152,1449.6681580143063
13.507553,489.45512,3.97,127.62156104669319
4.5877261,19.06968,0.1304,704.1748504600224
13.35753,630.88859,2.231,170.24310075022782
13.098082,985.26681,5.5,108.42712969016186
12.528188,2707.8946,2.8,151.963850836144
14.122361,177.98368,0.15,656.5588752003865
4.2739391,16.90845,0.32,449.5151328468386
5.2730951,24.154928,1.18,234.08754245892112
13.325588,666.16749,1.063,246.63384503949317
12.954861,1264.9555,0.14,679.6030011845124
13.083405,1010.693,2.51,160.5027379228804
12.644982,2193.0132,5.02,113.492574384276
13.204329,819.99625,2.37,165.17531089540043
13.910156,251.08412,2.07,176.73970802177686
13.577252,435.42436,1.305,222.5943056258562
3.4344304,11.664288,0.0974,814.7790008540007
3.8928914,14.429391,0.1964,573.7841723409769
13.485227,508.20698,1.565,203.2647803249476
13.649665,385.8432,1.96,181.6315421039836
12.125567,5689.1213,2.41,163.79882597355555
13.354281,634.38469,1.566,203.19987060580092
13.394546,592.4314,2.342,166.15976165201448
17.31945,323.23108,0.05208,1114.2530156327891
11.968143,7656.4766,487.1,11.521532285304454
12.576953,2479.0584,2.73,153.89977411539317
12.696587,1999.1381,2.2,171.43834498768925
13.034916,1099.6849,3.07,145.12763504234314
4.3725166,17.575889,0.2099,555.0256915653255
10.123345,73.100441,2.55,159.23891716987748
13.577252,435.42436,0.896,268.636673553646
6.4714828,34.198293,0.461,374.5146779692963
